time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,11.89154,-54.67094,1850.916,460.7988,3.425687,0.7714212,-2.718328,0.05652537,-0.3100819,-0.03417217,117.249,-250.5558
0,1,8.247628,1117.026,12.13261,-904.316,-0.2371684,4.425315,-0.2243461,-0.1578816,-0.06141206,0.1743109,81.19787,-208.5585
0,2,12.18431,-6.499403,1071.758,343.8411,-0.9920993,1.309688,-4.122354,-0.03723213,-0.4197098,-0.03898527,119.975,-382.73
0,3,28.10672,66.15889,417.8668,1116.079,-3.689116,2.379981,-0.6790291,-0.181117,-0.2526675,-0.8575305,277.3425,-800.5722
0,4,27.18788,-645.2249,1493.926,-709.2327,3.076399,2.354799,2.170341,0.1994323,-0.4440877,0.2476499,268.0682,-565.7592
0,5,15.26106,-303.865,204.1071,1194.975,2.391754,-3.538995,1.206707,0.1695805,0.04619857,-0.4437853,150.33,-429.5002
0,6,1.884316,135.2022,806.0941,1222.471,-3.203531,2.715625,-1.444404,-0.01169751,-0.03206235,-0.0457957,18.58269,-49.20946
0,7,19.2387,-315.2109,29.33215,-1678.13,2.991928,-3.223169,-0.6153895,0.1240827,0.03033412,0.344488,189.6855,-403.6989
0,8,15.32496,-345.8533,1152.372,661.9081,-2.871796,0.9882773,-3.237254,0.2293612,-0.4040082,-0.2513837,150.9794,-420.0418
0,9,10.76515,1649.053,-993.6526,-173.6463,1.001846,0.9321585,4.224504,-0.1749425,0.1285439,0.02098643,106.1392,-221.1172
0,10,6.733873,1386.767,-203.5011,844.7872,-0.9267988,-4.314093,0.4774061,-0.07321868,0.03957687,-0.1075775,66.32281,-167.2637
0,11,4.600007,1039.692,984.4684,681.1509,0.3053918,2.293678,-3.790298,-0.06333163,-0.06338535,-0.04953296,45.3574,-111.4713
0,12,12.65827,13.20096,816.4993,-1737.499,-4.26209,1.137717,0.5056899,-0.006704382,-0.1257513,0.1929366,124.7823,-248.2682
0,13,16.88475,404.3846,-417.0473,-645.1332,2.570833,-2.073214,2.969705,-0.392774,0.4585036,0.7339684,166.5388,-582.105
0,14,22.47433,-226.2383,629.5754,-66.95674,1.440258,0.04579471,-4.200691,0.8001309,-1.799365,0.2090027,221.622,-955.4809
0,15,13.56452,189.0587,-610.6134,-1837.178,4.336416,-0.6780043,0.6744312,-0.01102686,0.0810398,0.213763,133.7397,-258.0615
0,16,18.13555,478.9628,1031.852,632.8937,0.1285943,-2.368809,3.752948,-0.2528817,-0.3940596,-0.2648248,178.7477,-497.9131
0,17,6.510855,251.75,1370.051,-661.3817,-1.577835,-1.569142,-3.842531,-0.02227719,-0.1273873,0.06066496,64.18665,-157.6126
0,18,12.02163,-457.3205,-1201.072,1155.845,-3.861317,2.100138,0.6492445,-0.007076913,0.2130613,-0.1460234,118.6647,-261.7246
0,19,11.10881,450.2597,4.567626,-1778.272,-1.177678,-4.270394,-0.3060841,-0.07277922,0.005541004,0.1901169,109.5155,-224.9404
0,20,20.79266,-867.0874,-217.772,-104.9678,-1.063144,4.311519,-0.05069013,1.084456,0.3044581,0.1440737,205.0369,-673.7679
0,21,16.46465,-1156.564,-1308.08,-613.4764,-3.457324,2.631303,0.9150537,0.1840857,0.1923224,0.0876486,162.2934,-305.9309
0,22,12.93942,215.0449,661.1409,-353.5399,3.103384,0.6330121,3.112815,-0.3185896,-0.7331198,0.4953141,127.5912,-496.7811
0,23,13.75639,-1099.665,618.8499,-954.1792,-2.677663,-3.433388,0.8654782,0.2245529,-0.07929031,0.1916522,135.5492,-306.0749
0,24,5.222874,-1258.315,518.4415,-542.4366,0.542068,-2.496434,-3.631491,0.1209538,-0.0258431,0.04085762,51.48122,-124.501
0,25,7.576631,455.0871,-924.4138,-1643.285,3.883246,2.14975,-0.1307901,-0.03669611,0.0788018,0.09541146,74.6985,-144.8909
0,26,14.19176,-586.2128,-1099.854,831.3635,-4.037197,1.809617,-0.451866,-0.1854759,0.115843,-0.285703,140.3412,-352.1898
0,27,23.73342,1716.362,632.171,-48.59496,1.20909,-3.481877,-2.474789,-0.3995163,-0.1750596,0.1308065,233.8923,-504.7423
0,28,14.84719,713.8039,1657.279,380.0067,-1.331816,-0.397575,4.217587,-0.1306832,-0.2616536,-0.05161079,146.3921,-312.8472
0,29,28.12419,-1319.52,1206.026,23.06002,1.649087,1.868714,-3.675879,0.4959008,-0.3281569,-0.01208953,277.3561,-574.5725
0,30,16.63769,1615.789,-771.987,-687.4097,2.361152,3.220272,1.94427,-0.2545947,0.1442416,0.164329,164.0924,-334.6895
0,31,11.24587,-355.768,540.1795,1317.9,-1.601604,3.659405,-1.938525,0.08251415,-0.1175923,-0.2736844,110.8521,-291.392
0,32,9.049245,1264.856,-1451.65,272.8649,-3.353269,-2.913811,0.0200851,-0.1385302,0.08717416,-0.05311272,89.29393,-186.0022
0,33,14.29984,-703.0067,-1141.885,765.9848,-3.896324,2.039409,-0.5509536,0.5069946,0.3595597,0.09008985,140.4536,-343.3302
