time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,0.8373312,-273.3018,221.0701,-156.7608,5.035748,-0.005014498,-8.779842,0.2202538,-0.2099398,0.1481186
0,1,2.849108,-99.26496,-52.24633,162.5528,-12.05987,0.00582291,-7.364695,1.488117,0.8295051,-2.616244
0,2,2.105029,-92.97852,245.8103,-308.4555,9.445167,-0.004122679,-2.846837,0.2167927,-0.4339178,0.6244579
0,3,10.93013,379.0764,139.929,256.2761,-5.086123,-0.00118138,7.520047,-2.586071,-0.6456314,-1.440088
0,4,4.100932,-293.3218,168.0399,-260.9679,6.388623,-0.002962743,-7.177144,1.001141,-0.6075004,1.047315
0,5,9.509845,-427.9375,-137.243,-169.7045,3.342343,0.001347822,-8.421727,2.730217,0.6408788,0.8240874
0,6,5.021867,-175.961,-47.45263,-415.7981,8.583962,0.0005263977,-3.629511,0.6250026,0.132175,1.568771
0,7,5.101244,-89.34671,-78.4448,-261.953,11.08339,0.00304779,-3.776487,1.388166,0.777376,3.171761
0,8,0.9970765,127.5062,213.4768,278.7304,-9.342566,-0.003918606,4.274845,-0.09464068,-0.1953575,-0.2817566
0,9,3.037958,-360.1154,-1.406175,-303.926,5.902108,-0.0002553506,-6.9891,0.7277424,-0.03878722,0.6090441
0,10,16.61633,-260.8462,238.0856,169.4265,-5.468581,-0.006851946,-8.415804,1.82657,-5.692712,-4.13028
0,11,9.156219,-256.1528,-77.40486,-107.4868,4.526117,0.002169067,-10.78365,4.798935,0.9930228,1.398211
0,12,7.220418,267.2983,195.6979,-42.75682,1.717208,-0.00568767,10.72779,-2.738768,-2.053368,0.1070741
0,13,7.702063,-198.0504,-217.1347,-100.6807,5.100516,0.004578362,-10.04821,1.966372,1.763142,0.101058
0,14,1.924701,-122,-94.68227,248.792,-10.41918,0.003644809,-5.109556,0.4178303,0.3507583,-0.8669196
0,15,4.879572,251.0163,132.1548,-122.9484,4.967292,-0.004949378,10.14203,-2.09668,-1.207543,0.9305698
0,16,2.087946,-172.9838,-19.24817,-83.58649,6.218327,0.001867059,-12.8678,2.07299,0.1949159,0.9308233
0,17,9.404734,65.62766,117.4783,-365.7692,9.900999,-0.002481564,1.77784,-0.3016334,-1.166922,3.190217
0,18,12.38983,316.7154,-59.75518,-234.6084,5.918211,-5.391091E-05,7.992068,-3.633053,-0.03339735,1.949988
0,19,13.50378,103.7473,-281.0483,341.3595,-8.91535,0.003607642,2.709326,-1.024316,2.43584,-3.301019
0,20,20.08081,17.91147,-330.9417,-141.0533,10.38148,0.007468088,1.306126,-0.2755235,7.498264,3.348058
0,21,5.520654,270.3833,-228.0269,26.36443,-1.022121,0.005746378,10.4938,-1.927532,1.586188,-0.3868291
0,22,7.412346,-248.3865,-290.8086,-114.575,4.161194,0.006861386,-9.025434,1.83556,2.542948,0.779244
0,23,8.196192,-241.8861,-252.5164,-15.80954,0.6892164,0.006319676,-10.59292,2.560663,2.589864,-0.3978919
0,24,3.392254,-10.17855,-115.4859,472.0159,-9.005189,0.0006121403,-0.2000636,0.0109316,0.1038268,-1.579435
0,25,11.59869,-72.70023,-378.0424,3.433573,-0.5039065,0.00750616,-10.10879,0.9676303,4.353083,-0.4298395
0,26,6.639265,102.6192,213.8399,-116.6087,9.176614,-0.01106429,8.059178,-1.86793,-3.672938,1.366236
0,27,10.70026,255.8302,165.6498,306.7664,-7.334508,-0.001496365,6.116036,-1.960287,-0.8005751,-1.884543
