time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,7.44155,-37.31041,400.0477,-261.1864,8.792811,-0.005735217,-1.258651,0.8251628,-2.133945,1.162138,293.5608,-610.3079
0,1,6.706442,-317.5685,295.4535,-149.6304,3.78618,-0.003748352,-8.0329,1.681816,-1.256905,0.8748316,264.4439,-566.7354
0,2,5.855292,-50.15159,-275.9586,-388.5456,8.808292,0.003117389,-1.135113,0.3476163,0.9126613,1.676277,230.9166,-478.5072
0,3,10.4117,-98.71618,-289.0085,56.3381,-4.409419,0.008091641,-7.709212,2.338777,4.212386,-1.619379,410.6113,-1182.274
0,4,16.16504,171.8076,297.0897,90.98542,-4.151987,-0.007222011,7.848527,-2.406791,-5.837203,-2.726631,637.2129,-1605.758
0,5,3.257817,66.95576,-87.64761,-201.8926,8.42807,0.008147652,2.804896,-0.5689579,1.327178,2.681689,128.5207,-456.4472
0,6,8.890208,-22.03862,87.27647,37.0284,-7.63103,-0.07535483,-4.543507,8.413836,-33.49601,-14.66507,350.6376,-2273.985
0,7,11.11667,109.186,-396.968,-16.76123,1.358475,0.006479508,8.775209,-1.741182,3.601529,-0.2640852,438.2737,-1026.737
0,8,7.342257,-192.5452,-213.4383,364.7147,-7.852627,0.002556899,-4.147491,0.9534432,0.9386702,-1.754246,289.5251,-569.1272
0,9,17.50237,-93.21011,-473.9682,23.99047,-2.229198,0.008900584,-8.597563,0.2143928,7.789065,-1.114425,690.3589,-1468.315
0,10,19.63513,-193.4877,243.3393,-111.6928,4.438616,-0.006303601,-7.69135,4.815761,-6.188601,3.315465,774.1955,-2085.628
0,11,1.618675,124.0374,152.7999,125.4548,-6.316772,-0.01020595,6.240608,-0.6387176,-0.8260055,-0.7740486,63.81376,-217.325
0,12,7.806944,17.4109,146.2672,-282.8216,8.864213,-0.004415201,0.5483475,-0.01329108,-1.723461,3.212233,307.8863,-859.4015
0,13,9.993422,0.6237558,-214.3933,-289.2673,8.880883,0.002868253,0.02131889,0.1027324,1.433183,3.808593,394.0933,-1035.062
0,14,3.287524,348.1528,-102.0024,-144.0657,3.39328,0.002238348,8.206798,-1.016528,0.3679311,0.4133428,129.6367,-315.1276
