time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,8.472532,-212.8724,-4.293687,423.0969,-7.947564,-0.03162418,-3.970328,-5.461812,-13.39684,7.670828,334.3612,-846.1208
0,1,4.071343,-253.5397,224.6553,113.1266,-3.622256,-0.00627517,-8.113608,0.3120354,-1.277418,-1.203049,160.7191,-450.7578
0,2,9.024934,58.35996,-209.718,84.4013,-7.299857,0.01486609,5.058583,-1.839077,6.708273,-2.181471,355.9316,-1257.802
0,3,3.530395,-185.7153,346.6286,-26.57976,1.256229,-0.008387448,-8.793795,1.123051,-1.48055,-0.2647176,139.29,-371.4669
0,4,12.56983,-308.0913,85.68353,-295.0471,6.144584,-0.001561178,-6.411278,3.084352,-0.9811869,3.258196,495.6308,-1109.228
0,5,4.925902,-434.3047,224.9807,-3.844844,0.08080243,-0.002999553,-8.879919,1.432782,-0.7387751,0.1112366,194.2271,-408.3693
0,6,8.640476,150.9316,143.273,-413.5071,8.34155,-0.00195873,3.047479,-0.8732435,-0.846218,2.532003,340.7311,-700.6624
0,7,6.760284,162.1463,-230.5819,-75.32947,3.742905,0.00840445,8.053658,-2.292603,2.840824,1.153291,266.5946,-780.5266
0,8,8.669252,48.73249,67.63598,-307.0431,8.770473,-0.002004877,1.396685,-0.5298485,-0.8690391,4.169121,341.8804,-943.3723
0,9,12.86833,-391.2628,-100.3607,92.01151,-2.029537,0.002700692,-8.645834,4.668655,1.73767,-1.203804,507.4593,-1234.83
0,10,5.335058,-27.14951,-1.352771,-140.2383,8.723268,0.0002294482,-1.660057,1.752151,0.06120598,10.32438,210.3378,-1029.326
0,11,3.700026,80.38192,100.106,320.3598,-8.573042,-0.04163956,2.130457,7.304389,-7.703374,-6.552932,144.3706,-475.6673
0,12,10.51612,-223.843,-28.87708,288.1148,-7.010878,0.002017147,-5.44818,2.453991,1.060628,-1.637849,414.5197,-1126.429
0,13,10.22648,329.6682,324.0419,-50.3808,1.34163,-0.004261357,8.779095,-2.372785,-2.178935,0.5338048,403.294,-829.154
0,14,6.157182,-234.8405,-236.4013,-131.0276,4.326869,0.001778244,-7.755607,1.54217,0.5474488,0.7681198,242.8123,-674.6807
0,15,9.208266,27.79913,-113.2277,-7.903656,2.466189,0.05499998,8.531362,-6.86306,25.32273,1.980002,363.1245,-2073.908
0,16,18.13052,-26.7957,-431.8904,-231.2571,8.821082,0.005214266,-1.026081,0.1797531,4.726868,2.54969,714.9258,-1404.462
0,17,15.27091,-66.67635,443.6239,46.36888,-5.086126,-0.00684438,-7.281577,0.1322446,-5.225997,-1.32049,602.3618,-1335.07
0,18,5.270543,186.921,-93.76255,348.1724,-7.82644,0.001339374,4.197914,-1.034992,0.3529615,-1.643953,207.8587,-486.9311
0,19,15.57033,-32.81015,434.2302,-98.02089,8.415622,-0.00679086,-2.832059,-0.7459427,-5.286798,0.9955481,613.8082,-1397.646
0,20,7.856486,-436.4766,-145.8412,-12.10428,0.2492081,0.002387115,-8.876435,2.606801,0.937717,0.3689111,309.7546,-685.7
0,21,11.35904,193.8699,-352.5659,116.0818,-4.560134,0.006771731,7.621889,-2.265358,3.846017,-0.5572765,448.0462,-1033.5
0,22,12.03678,153.99,61.84357,-238.8393,7.460594,-0.002267033,4.81545,-3.758363,-1.364389,4.73021,474.5443,-1380.525
0,23,2.544803,-163.3124,222.7363,-187.976,6.704165,-0.005398779,-5.822274,0.5529611,-0.6869416,0.8754225,100.3222,-282.2369
