time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,7.337335,55.9232,-282.1434,253.1302,-8.650427,0.119579,1.959721,-0.1077006,2.193477,-1.367648,288.668,-715.158
0,1,4.565265,90.12163,18.05308,281.5774,-8.524879,-0.05181236,2.604976,-1.142404,-0.5913429,-2.326898,181.3829,-559.2621
0,2,17.10976,-359.123,170.9258,286.1816,-5.442001,-0.008775447,-6.972189,6.239742,-0.3753645,-2.987901,669.2216,-1500.893
0,3,9.26778,36.54515,201.0568,322.8496,-8.839036,-0.08958963,0.964497,-0.6062115,-2.075743,-3.032935,366.3871,-902.6237
0,4,15.00887,-287.8757,341.0339,-206.7807,5.16669,-0.07105949,-7.205976,2.182993,-2.666306,2.187632,590.0422,-1142.913
0,5,4.516158,189.1033,268.3198,-256.5668,7.157599,-0.09884201,5.237551,-0.5570121,-1.115965,0.5470844,177.6497,-394.7637
0,6,4.319284,-284.6597,133.1752,81.87117,-2.419492,-0.08125044,-8.525312,1.480784,-0.8773595,-0.2223403,169.6215,-498.6444
0,7,1.600476,-195.7652,-152.3165,22.7109,-0.9719551,0.1932432,-8.823074,0.840876,0.773203,-0.08568,63.08171,-206.1566
0,8,6.597233,-283.091,-247.8461,150.4987,-4.162507,0.09399112,-7.834734,1.529759,1.550203,-0.6581355,259.6617,-603.0829
0,9,11.92284,-234.7016,288.545,179.4618,-5.392502,-0.1248419,-7.029903,2.563403,-3.721175,-1.205327,468.0562,-1184.081
0,10,6.189458,203.2434,-303.5992,278.2129,-7.196176,0.08942179,5.26272,-1.234488,1.383681,-0.7715303,245.9974,-523.9476
0,11,8.849174,404.2468,268.8133,-5.97773,0.1090863,-0.07165386,8.890197,-2.219404,-1.585194,0.2649969,349.7752,-687.9951
0,12,10.365,-188.3416,427.1648,15.16133,-0.8246019,-0.1148591,-8.828883,1.399783,-2.976288,0.2133592,407.5641,-871.1285
0,13,4.4897,48.4302,-75.935,-1.239702,-0.1458102,1.623911,8.945035,-11.49198,18.22719,1.210653,185.5862,-1214.765
0,14,7.614793,-347.3913,-107.4591,291.2231,-5.674672,0.04849479,-6.848546,1.595652,0.9231945,-1.673247,301.1911,-642.5737
0,15,10.788,-414.2406,215.0143,-160.6042,3.23484,-0.04609951,-8.258831,2.448537,-1.243304,1.259005,424.371,-836.4284
0,16,14.15582,128.4133,-61.74257,221.5182,-7.750591,0.06245176,4.367491,-4.605114,2.21014,-6.818788,560.2204,-1820.903
0,17,5.325422,-273.2633,-320.8456,226.7294,-5.677985,0.08911803,-6.835127,0.8093776,1.186478,-0.7686728,210.2647,-423.7382
0,18,18.09249,77.96735,123.0485,138.0181,-7.801598,-0.264861,4.278716,-7.659125,-11.97999,-11.83583,716.847,-2698.083
0,19,4.149913,295.0158,308.2042,23.193,-0.6698347,-0.1012512,8.86471,-0.8325701,-1.050459,0.03749974,164.0087,-361.5498
0,20,2.906665,408.2935,-114.5644,152.3945,-3.16109,0.04153994,8.298416,-0.8979172,0.3018568,-0.3389594,114.6068,-246.6643
0,21,11.0193,-390.9409,73.02892,98.66299,-2.098644,-0.03334038,-8.610239,4.134357,-0.918469,-0.522662,432.7369,-1093.326
0,22,4.319806,-209.6761,-364.4901,-57.1232,2.255128,0.112537,-8.580464,0.6589753,1.215345,0.2690314,170.0332,-369.3575
0,23,10.76867,179.3874,-146.9756,367.956,-8.017382,0.0443647,3.840842,-1.855413,1.194372,-3.231602,425.537,-958.7349
0,24,14.44822,404.1448,-15.30612,-59.68848,1.217315,-0.01506875,8.857255,-5.672703,-0.5442916,3.018185,577.4451,-1351.487
0,25,0.7580537,138.937,-161.4599,131.3413,-6.138804,0.196557,6.443059,-0.301852,0.372502,-0.2329198,30.03279,-99.30739
0,26,9.436806,262.5253,372.3684,183.2283,-5.077467,-0.09440632,7.303599,-1.793449,-2.227235,-0.8210532,373.3773,-738.0941
0,27,8.709087,89.71007,-54.79102,-280.8434,8.438159,0.03938901,2.800063,-1.16244,0.8576058,4.355047,344.2025,-978.0576
0,28,4.804612,-196.3329,-28.2117,38.39307,-1.501032,0.07675378,-8.764369,4.298573,0.9219303,-0.9658811,189.9579,-729.5532
0,29,25.88306,-280.6233,-0.3919066,-73.46789,2.347916,0.006934663,-8.533142,13.18175,0.4487258,5.487552,1013.675,-2974.289
0,30,8.622723,101.9171,-232.166,-51.0088,4.128517,0.2316912,7.8634,-1.978461,4.994522,1.06888,340.3018,-1086.086
0,31,10.52118,336.0007,188.2133,19.73822,-0.5453277,-0.07290233,8.869472,-3.108428,-1.917546,-0.02465176,415.43,-987.6035
0,32,8.723788,-38.14464,6.993479,-455.3368,8.87324,-0.005648402,-0.6812457,0.645408,-0.1231887,2.814021,345.4555,-706.6678
0,33,6.436757,-172.9535,195.7061,159.4492,-6.045509,-0.05655228,-6.531995,1.160548,-0.9100333,-1.520831,254.9546,-787.921
0,34,10.80634,-217.5765,154.4125,236.8118,-6.53083,-0.02880043,-6.035362,2.020433,-0.7780683,-2.692677,427.2729,-1191.519
0,35,6.21185,-199.064,354.2668,-107.9976,4.164649,-0.1006263,-7.825268,0.8147819,-1.562689,0.7140754,244.0923,-555.4777
0,36,4.934869,201.5331,306.5662,193.199,-6.178279,-0.02757005,6.483712,-1.423715,-0.3401365,-0.06618176,197.9139,-462.8232
0,37,9.010196,-38.76779,-273.189,-237.3195,8.776477,0.1209969,-1.44786,0.7681878,2.725514,2.554403,356.5221,-863.3728
0,38,9.071797,417.8603,-36.19887,-13.47054,0.1809661,0.04685017,8.811218,-4.082067,1.062538,-1.409099,352.3146,-849.5972
0,39,8.208508,274.0685,-166.0067,4.398934,-0.1853513,0.1087937,8.876508,-3.239699,2.232585,-0.08492006,323.5735,-893.2597
