time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,39.02491,-165.3759,-430.3596,28.68867,5.321025E-05,0.0001384697,-9.230679E-06,0.1038263,0.2701883,-0.01801132,4.310378E-07,-66.9826
0,1,40.21291,-1.032765E-06,-2.687578E-06,1.791596E-07,-5.163827E-05,-0.0001343789,8.957979E-06,-0.1038263,-0.2701883,0.01801132,4.183037E-07,-66.9826
1.002438,0,39.02491,-165.3745,-430.3559,28.68843,0.002713752,0.007062029,-0.0004707697,0.1038296,0.2701968,-0.01801189,0.001121153,-66.98367
1.002438,1,40.21291,-0.001369455,-0.003563748,0.0002375669,-0.002633581,-0.006853398,0.000456862,-0.1038296,-0.2701971,0.0180119,0.001088031,-66.98369
2.010134,0,39.02491,-165.3704,-430.3453,28.68773,0.005374464,0.01398603,-0.0009323382,0.1038394,0.2702226,-0.01801361,0.004397388,-66.98686
2.010134,1,40.21291,-0.00531989,-0.01384401,0.0009228712,-0.00521569,-0.01357285,0.0009047951,-0.1038396,-0.2702229,0.01801363,0.004267484,-66.9869
3.003175,0,39.02491,-165.3637,-430.3278,28.68656,0.008035515,0.02091092,-0.001393966,0.1038559,0.2702654,-0.01801647,0.009829966,-66.99216
3.003175,1,40.21291,-0.01185259,-0.03084414,0.002056136,-0.007798131,-0.02029317,0.001352786,-0.1038561,-0.270266,0.0180165,0.00953958,-66.99223
4.011234,0,39.02491,-165.3543,-430.3033,28.68493,0.01069708,0.02783713,-0.001855681,0.103879,0.2703255,-0.01802047,0.01742026,-66.99961
4.011234,1,40.21291,-0.02096797,-0.05456519,0.003637432,-0.01038107,-0.02701477,0.001800862,-0.1038793,-0.2703262,0.01802052,0.01690566,-66.99969
5.008044,0,39.02491,-165.3422,-430.2719,28.68284,0.01335931,0.0347651,-0.002317515,0.1039087,0.2704028,-0.01802562,0.0271702,-67.00919
5.008044,1,40.21291,-0.03266661,-0.0850087,0.005666866,-0.01296466,-0.03373809,0.002249053,-0.103909,-0.2704035,0.01802568,0.0263676,-67.00928
6.009507,0,39.02491,-165.3275,-430.2335,28.68029,0.0160224,0.04169528,-0.002779495,0.103945,0.2704972,-0.01803192,0.03908226,-67.02088
6.009507,1,40.21291,-0.04694925,-0.1221766,0.008144555,-0.01554908,-0.04046355,0.002697386,-0.1039454,-0.2704982,0.01803199,0.03792779,-67.02101
7.010736,0,39.02491,-165.3101,-430.1882,28.67727,0.01868651,0.0486281,-0.003241652,0.1039879,0.2706088,-0.01803937,0.05315945,-67.03472
7.010736,1,40.21291,-0.0638168,-0.1660712,0.01107066,-0.01813449,-0.04719159,0.003145892,-0.1039884,-0.2706101,0.01803945,0.05158919,-67.03487
8.003942,0,39.02491,-165.2901,-430.136,28.67379,0.0213518,0.055564,-0.003704014,0.1040375,0.2707378,-0.01804797,0.06940535,-67.05069
8.003942,1,40.21291,-0.08327033,-0.2166954,0.01444538,-0.02072105,-0.05392263,0.003594597,-0.104038,-0.2707392,0.01804806,0.06735528,-67.05086
9.003541,0,39.02491,-165.2674,-430.0768,28.66985,0.02401844,0.06250345,-0.004166612,0.1040938,0.2708841,-0.01805772,0.08782414,-67.06881
