Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
902,2354,299,77,22,9999,0,801,0,3931,3148,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1435,1584,1663,1144,0,9,31,15,15,15,0,9,9,9,22,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
1902,2354,299,77,22,9999,0,769,0,3931,3022,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1435,1584,1567,1150,0,5,34,17,28,18,0,0,5,0,20,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2902,2354,299,77,22,9999,0,929,0,3956,3675,4,3,2419,490,2000,0,0,72,72,27,0,0,0,0,0,1435,1584,1567,1150,0,5,34,17,28,18,0,0,5,0,20,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
3902,2354,299,77,22,9999,0,1050,0,3956,4153,4,3,1478,490,1353,0,0,53,72,33,0,5,22,0,0,1435,1584,6977,1242,0,14,19,33,33,25,5,9,14,5,59,0,0,10428,396,0,253,37,290,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
4902,2354,299,77,22,9999,0,984,0,3956,3892,4,3,1478,490,1353,0,0,72,72,35,0,10,1,0,0,1435,1584,7133,1242,0,14,19,28,21,10,14,0,13,9,61,0,0,10428,396,0,253,37,290,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
5902,2354,299,77,22,9999,0,1256,0,3956,4968,4,4,2419,525,2000,0,0,72,72,35,0,0,0,0,0,1435,1584,5242,3229,0,14,33,38,22,42,5,5,14,5,77,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
6903,2354,299,77,22,9999,0,1500,0,3956,6001,4,4,2419,525,2000,0,0,72,72,35,0,0,0,0,0,1435,1584,5451,3164,0,27,80,80,80,80,23,19,27,10,69,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
7902,2354,299,77,22,9999,0,1136,0,3956,4494,4,4,2419,525,2000,0,0,70,72,35,0,0,2,0,0,1435,1584,5403,3288,0,13,27,38,19,39,5,13,13,9,76,0,0,10428,396,0,253,37,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,2897,2897,99
8902,2354,299,77,22,9999,0,1110,0,3956,4391,4,4,2419,525,2000,0,0,71,72,34,0,0,0,0,0,1435,1584,4442,2640,0,10,42,27,35,19,10,5,4,18,71,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,1653,1653,99
9902,2354,299,77,22,9999,0,1108,0,3956,4383,4,3,2419,490,2000,0,0,72,72,33,0,0,1,0,0,1435,1584,7225,1244,0,14,28,28,23,11,14,5,0,13,62,0,0,10428,396,0,253,37,290,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,3258,3258,99
10903,2354,299,77,22,9999,0,1154,0,3917,4520,4,3,2419,490,2000,0,0,72,72,32,0,0,0,0,0,1435,1584,7234,1241,0,9,47,39,31,40,9,9,0,9,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
11902,2354,299,77,22,9999,0,1022,0,3917,4003,4,3,2419,490,2000,0,0,72,72,32,0,0,0,0,0,1435,1584,7253,1240,0,9,34,25,15,21,5,9,9,9,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
12903,2354,299,77,22,9999,0,1115,0,3928,4379,4,3,2419,490,2000,0,0,72,72,31,0,0,0,0,0,1435,1584,7245,1239,0,10,21,26,21,17,0,10,0,9,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
13903,2354,299,77,22,9999,0,985,0,3928,3869,4,3,1478,490,1555,0,0,72,72,31,0,0,0,0,0,1435,1584,7301,1237,0,10,23,19,21,21,10,5,0,17,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
14903,2354,299,77,22,9999,0,946,0,3928,3715,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,0,1435,1584,7301,1237,0,10,23,19,21,21,10,5,0,17,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
15903,2354,299,77,22,9999,0,1031,0,3928,4049,4,3,1478,490,2000,0,0,72,72,31,0,0,0,0,0,1435,1584,7301,1237,0,10,23,19,21,21,10,5,0,17,62,0,0,10428,396,0,253,37,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
16903,2354,299,77,22,9999,0,1306,0,3928,5129,4,3,1478,490,1353,0,0,50,72,31,1,3,70,0,0,1435,1584,13889,1318,0,39,33,28,19,21,39,28,5,18,95,0,0,10428,396,0,253,37,290,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
