time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,1.956432,-316.0056,-176.1874,-146.3681,3.181905,1.124803,-8.214911,0.6051809,0.3074617,0.2295314,77.15625,-176.6875
0,1,3.511357,162.4246,28.02752,81.7245,-0.4390425,-8.098759,3.625982,-2.86729,-1.212976,-1.502762,138.5764,-584.5895
0,2,9.897078,-235.8992,-48.20416,252.3103,-4.048687,-6.147972,-4.965411,3.159208,0.9556924,-2.672285,390.1662,-986.101
0,3,38.81238,-118.7571,33.1356,441.7542,-8.4895,-1.432964,-2.177728,3.198754,-1.766187,-11.71299,1530.518,-3217.12
0,4,3.858369,-226.3895,-106.5752,412.9967,7.583344,-3.211213,3.325147,0.6756755,0.4458463,-0.8488119,152.1656,-307.9608
0,5,7.814246,346.7058,236.7979,-230.826,5.704935,-2.024265,6.499033,-1.651565,-1.294083,1.491139,308.1992,-644.6142
0,6,8.842259,-71.86023,51.28177,-142.6178,6.635369,5.771622,-1.244341,5.701797,-3.259794,11.30726,348.7747,-1507.784
0,7,2.548358,139.3924,-229.6999,-233.5448,4.532595,6.62381,-3.802076,-0.5858368,0.8412731,0.6243954,100.5009,-262.6536
0,8,4.38372,-142.1262,205.3677,51.01499,7.273633,5.090339,-0.2650054,1.906829,-2.291731,-0.410532,172.9104,-587.3461
0,9,3.845297,-57.67049,-362.9138,-46.88376,-3.47516,1.591069,-8.017022,0.1606798,1.408518,0.03809851,151.6602,-361.6776
0,10,16.014,351.4057,67.6483,-42.98866,-1.661569,8.723839,0.1804706,-6.90585,0.1438598,0.9135083,631.7421,-1730.105
0,11,1.426826,18.50457,307.0027,229.2961,7.872479,2.139583,-3.507546,-0.08753841,-0.4756285,-0.3857535,56.25735,-143.2339
0,12,4.171846,202.0393,-3.514894,380.2146,1.067604,8.803131,-0.4894365,-0.6831385,0.1075886,-1.233814,164.526,-362.8021
0,13,9.948167,339.5228,-217.0241,-183.5767,-5.151766,-7.151944,-1.06699,-1.601607,2.178729,1.777569,392.1043,-880.3352
0,14,3.986861,-66.63197,79.97964,174.7474,-7.356406,-4.941499,-0.5568615,1.455017,-1.369452,-3.306949,157.1725,-605.535
0,15,8.167228,-172.8619,194.9686,170.7595,7.1559,2.116964,4.816574,2.953488,-2.16305,-2.532872,322.1474,-932.6641
0,16,2.542898,-257.9258,-87.24088,-99.90926,3.885418,-2.981839,-7.407611,1.344403,0.4823694,0.5618947,100.2671,-287.9858
0,17,2.562268,248.4392,212.3473,-313.4789,-1.705517,-6.530672,-5.771024,-0.4198011,-0.3978894,0.6119013,101.0343,-220.0238
0,18,24.1929,359.9645,-86.51176,142.6074,3.57097,1.805948,-7.929289,-8.036112,3.694015,-4.330215,954.2515,-2393.675
0,19,2.784997,463.0984,81.48281,20.53456,0.5381161,-4.938043,7.360263,-1.066594,-0.05813687,-0.1430586,109.7948,-247.6704
0,20,11.9815,-103.9759,119.2691,-51.08138,0.05512713,3.513828,8.157531,12.28349,-11.44445,5.933659,472.6422,-2091.042
0,21,17.96817,124.4271,-15.20446,-452.2725,-8.561735,-0.435,-2.333108,-6.21559,6.923481,8.138349,709.1669,-1534.624
0,22,6.573841,-98.06698,139.0098,-153.5352,-7.755009,-4.154629,1.208281,2.541456,-3.320753,4.178956,259.21,-912.8925
0,23,9.025053,-85.03134,-402.2587,-221.5462,-1.354603,-4.0102,7.806435,0.2929724,2.445294,1.03228,355.8447,-713.3743
0,24,3.630253,55.9078,-38.42485,47.31067,5.925435,0.7318085,-6.576879,-13.98118,9.917584,-12.1614,143.2165,-1067.354
0,25,7.043995,195.6578,272.5271,-137.1128,-0.4863934,4.257344,7.778515,-1.305955,-2.371014,1.223191,277.7689,-718.5758
0,26,1.844032,-248.0728,88.17429,-225.3988,-0.1153696,8.225073,3.350106,0.5688341,-0.07416906,0.5015935,72.73632,-187.494
0,27,9.336091,-106.2987,-37.02319,448.2133,8.50622,-1.721405,1.871741,0.09038865,3.221703,-2.946834,367.9467,-832.1173
0,28,26.3341,324.1872,175.9689,-57.16988,4.199843,-6.191712,4.786077,-8.996316,-7.198812,0.7805645,1038.65,-2742.23
0,29,13.85185,460.8087,-164.1979,-42.50273,2.944205,8.369925,-0.3754998,-4.296509,1.461839,0.3512352,546.2131,-1138.451
0,30,2.648722,-194.095,-175.4549,-235.4246,-5.526267,6.924785,-0.6000425,0.6420522,0.4329577,0.6550111,104.4289,-263.7376
0,31,0.6995615,82.38887,79.89719,25.10186,-0.7791264,3.315476,-8.202166,-1.409365,-1.367254,-0.4436247,27.58893,-157.9423
0,32,10.46122,34.38958,13.23129,195.5205,-3.497618,8.164266,0.04974928,-1.975539,0.01498011,-10.64445,412.6481,-1584.598
