time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,42.69005,-313.5925,-127.609,-64.21659,0.5299479,0.1012852,-2.756011,12.90119,5.249737,2.639513,168.3419,-2442.566
0,1,1000,-5.160477E-06,-2.099895E-06,-1.055805E-06,-0.0002580239,-0.0001049947,-5.279026E-05,-12.90119,-5.249737,-2.639513,4.019351E-05,-2442.566
1.003125,0,42.69005,-312.9085,-127.445,-66.94057,0.8319931,0.2242494,-2.692806,12.89154,5.25052,2.755526,170.6258,-2443.736
1.003125,1,1000,-0.006840079,-0.002784188,-0.001420285,-0.01315236,-0.005354344,-0.002751037,-12.89156,-5.250529,-2.755531,0.1046109,-2443.738
2.001592,0,42.69005,-311.9224,-127.158,-69.59997,1.134091,0.3473455,-2.626817,12.90522,5.260834,2.877202,177.3127,-2447.208
2.001592,1,1000,-0.02656854,-0.01081771,-0.005597893,-0.02604895,-0.01060934,-0.005568115,-12.90526,-5.26085,-2.877211,0.411055,-2447.211
3.000761,0,42.69005,-310.634,-126.7477,-72.19188,1.43679,0.4707982,-2.557901,12.94242,5.280789,3.005476,188.4525,-2453.007
3.000761,1,1000,-0.05920474,-0.0241132,-0.01265576,-0.03897123,-0.01587956,-0.008510157,-12.94248,-5.280815,-3.005491,0.9216701,-2453.013
4.00246,0,42.69005,-309.0424,-126.2136,-74.71333,1.740645,0.5948354,-2.485892,13.00357,5.310597,3.141373,204.1295,-2461.179
4.00246,1,1000,-0.1047864,-0.04269081,-0.0227224,-0.0519429,-0.02117474,-0.01158428,-13.00366,-5.310632,-3.141395,1.640315,-2461.187
5.002976,0,42.69005,-307.1457,-125.5552,-77.16105,2.046226,0.719692,-2.410596,13.08937,5.350591,3.286029,224.4637,-2471.788
5.002976,1,1000,-0.1633752,-0.06658062,-0.03593396,-0.06498824,-0.02650492,-0.01479867,-13.08948,-5.350636,-3.286058,2.572491,-2471.798
6.003224,0,42.69005,-304.9427,-124.7714,-79.53177,2.354119,0.8456107,-2.331796,13.20072,5.401165,3.440694,249.6131,-2484.911
6.003224,1,1000,-0.2350577,-0.09582283,-0.05243541,-0.07813236,-0.03188045,-0.01816272,-13.20085,-5.401219,-3.44073,3.725457,-2484.923
7.000516,0,42.69005,-302.4304,-123.861,-81.82178,2.664937,0.9728462,-2.249238,13.33888,5.462888,3.606798,279.7776,-2500.655
7.000516,1,1000,-0.3199457,-0.1304683,-0.07238176,-0.09140137,-0.03731221,-0.02168715,-13.33904,-5.462953,-3.606844,5.108372,-2500.67
8.001927,0,42.69005,-299.6055,-122.8226,-84.0272,2.979328,1.101667,-2.162637,13.50541,5.536445,3.785971,315.2034,-2519.149
8.001927,1,1000,-0.4181782,-0.1705791,-0.09593948,-0.1048229,-0.04281165,-0.02538421,-13.5056,-5.536522,-3.786027,6.732519,-2519.167
9.00074,0,42.69005,-296.464,-121.6545,-86.14383,3.297978,1.232361,-2.071664,13.70225,5.622685,3.980083,356.1879,-2540.549
9.00074,1,1000,-0.5299224,-0.2162291,-0.1232882,-0.1184263,-0.04839108,-0.02926791,-13.70247,-5.622774,-3.98015,8.611549,-2540.57
10.00245,0,42.69005,-293.0014,-120.3545,-88.16711,3.621624,1.365237,-1.975943,13.93174,5.722622,4.191297,403.0876,-2565.04
10.00245,1,1000,-0.6553759,-0.2675048,-0.1546225,-0.132243,-0.05406366,-0.03335426,-13.93199,-5.722726,-4.191379,10.7618,-2565.063
11.00104,0,42.69005,-289.2122,-118.9205,-90.09205,3.951063,1.500629,-1.875047,14.19673,5.83751,4.422156,456.3264,-2592.843
11.00104,1,1000,-0.7947695,-0.3245066,-0.1901543,-0.1463071,-0.05984368,-0.03766163,-14.19702,-5.837627,-4.422253,13.20272,-2592.869
12.00299,0,42.69005,-285.0903,-117.3496,-91.91325,4.287169,1.638906,-1.768479,14.50067,5.968826,4.675647,516.4077,-2624.222
12.00299,1,1000,-0.9483691,-0.38735,-0.2301151,-0.1606558,-0.06574685,-0.04221116,-14.50099,-5.968956,-4.675759,15.95736,-2624.25
13.0012,0,42.69005,-280.6284,-115.6388,-93.62476,4.6309,1.780473,-1.655667,14.84767,6.118361,4.955326,583.9263,-2659.485
13.0012,1,1000,-1.11648,-0.4561667,-0.2747591,-0.17533,-0.07179046,-0.04702722,-14.84804,-6.118512,-4.955459,19.05302,-2659.518
14.00392,0,42.69005,-275.8186,-113.7845,-95.21996,4.983323,1.925781,-1.53595,15.24274,6.288277,5.265453,659.5885,-2699.004
14.00392,1,1000,-1.299449,-0.5311066,-0.3243669,-0.1903753,-0.07799383,-0.05213812,-15.24315,-6.288447,-5.26561,22.52209,-2699.04
15.00076,0,42.69005,-270.6514,-111.7828,-96.6916,5.345632,2.075339,-1.408553,15.6919,6.481181,5.611187,744.2334,-2743.214
15.00076,1,1000,-1.497676,-0.6123405,-0.37925,-0.2058428,-0.08437864,-0.05757686,-15.69237,-6.481375,-5.611372,26.40305,-2743.255
16.0035,0,42.69005,-265.1162,-109.6292,-98.03157,5.719181,2.229721,-1.272571,16.20247,6.700252,5.998825,838.8621,-2792.639
16.0035,1,1000,-1.711609,-0.7000622,-0.4397553,-0.2217901,-0.09096941,-0.06338217,-16.203,-6.70047,-5.999043,30.7418,-2792.685
17.00323,0,42.69005,-259.2012,-107.3184,-99.23072,6.105509,2.389585,-1.126932,16.78342,6.949359,6.436128,944.6739,-2847.905
17.00323,1,1000,-1.941762,-0.7944914,-0.5062719,-0.2382832,-0.09779423,-0.06959977,-16.78401,-6.949606,-6.436384,35.59335,-2847.956
18.00405,0,42.69005,-252.8926,-104.8447,-100.2788,6.506395,2.55569,-0.9703611,17.44573,7.233285,6.932773,1063.117,-2909.767
