Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
1000,2228,317,80,20,9999,0,932,0,3954,3685,4,3,2419,490,2000,0,0,72,72,26,0,0,0,0,0,1435,1584,1580,680,0,13,46,29,23,23,9,13,0,0,17,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
2000,2228,317,80,20,9999,0,1003,0,3949,3960,4,3,1478,490,1353,0,0,72,72,25,0,13,16,0,0,1435,1584,7259,1173,0,25,51,27,33,22,23,25,10,9,18,0,0,11255,394,0,265,45,311,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
3000,2228,317,80,20,9999,0,1025,0,3934,4032,4,3,1478,490,1353,0,0,59,72,33,0,5,0,0,0,1435,1584,7091,1273,0,21,52,27,34,22,21,19,0,5,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
4000,2228,317,80,20,9999,0,993,0,3934,3906,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1435,1584,7252,1255,0,21,33,43,26,38,14,21,5,0,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
5000,2228,317,80,20,9999,0,1004,0,3934,3949,4,3,1478,490,1353,0,0,72,72,35,0,0,0,0,0,1435,1584,7352,1266,0,22,30,39,27,29,18,22,9,0,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
6000,2228,317,80,20,9999,0,1007,0,3935,3962,4,3,1478,490,1353,0,0,72,72,34,0,0,0,0,0,1435,1584,7238,1254,0,14,43,23,33,23,14,14,5,13,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
7000,2228,317,80,20,9999,0,988,0,3935,3887,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1435,1584,7317,1255,0,14,30,36,36,30,14,10,5,0,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
8000,2228,317,80,20,9999,0,1005,0,3935,3954,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1435,1584,7301,1254,0,25,33,28,37,34,25,14,13,0,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
9000,2228,317,80,20,9999,0,1025,0,3935,4033,4,3,1478,490,1353,0,0,72,72,33,0,0,0,0,0,1435,1584,7397,1258,0,17,30,36,19,39,10,14,17,9,63,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
10000,2228,317,80,20,9999,0,1037,0,3931,4076,4,3,1478,490,1353,0,0,72,72,32,0,0,0,0,0,1435,1584,7499,1251,0,26,46,19,36,36,26,14,10,17,63,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
